Ensembl id,Coding or Non-coding,Score
ENST00000469289.1,Non-coding,0.2759921
ENST00000473358.1,Coding,0.92217505
ENST00000417324.1,Non-coding,0.11760262
ENST00000461467.1,Non-coding,0.31280646
ENST00000466430.5,Non-coding,0.29038894
ENST00000477740.5,Coding,0.6840264
ENST00000471248.1,Coding,0.6537638
ENST00000610542.1,Non-coding,0.17899989
ENST00000453576.2,Coding,0.9102699
ENST00000495576.1,Non-coding,0.07155162
ENST00000493797.1,Non-coding,0.22547697
ENST00000484859.1,Non-coding,0.2761271
ENST00000490997.5,Non-coding,0.10039058
ENST00000466557.6,Coding,0.9537221
ENST00000662089.1,Coding,0.96110743
ENST00000491962.1,Coding,0.94328225
ENST00000655252.1,Coding,0.726475
ENST00000496488.1,Non-coding,0.27827987
ENST00000669836.1,Non-coding,0.06880594
ENST00000450983.1,Coding,0.693209
ENST00000412666.1,Coding,0.5152161
ENST00000635159.1,Non-coding,0.31015563
ENST00000423796.1,Coding,0.7746374
ENST00000450696.1,Coding,0.84686023
ENST00000422528.1,Coding,0.6791845
ENST00000655765.1,Non-coding,0.27694467
ENST00000412115.2,Coding,0.8723318
ENST00000670700.1,Coding,0.5719793
ENST00000429505.6,Non-coding,0.30742148
ENST00000657896.1,Non-coding,0.40634066
ENST00000434264.6,Coding,0.8463614
ENST00000457084.1,Coding,0.99196166
ENST00000658648.1,Coding,0.52530247
ENST00000656571.1,Coding,0.7107347
ENST00000665867.1,Coding,0.9319537
ENST00000669749.1,Coding,0.5307211
ENST00000666217.1,Coding,0.6848274
ENST00000665719.1,Coding,0.5239842
ENST00000651411.1,Non-coding,0.24850217
ENST00000589899.5,Coding,0.7909
ENST00000609830.1,Non-coding,0.30075052
ENST00000443772.2,Non-coding,0.120162755
ENST00000585826.1,Non-coding,0.3506527
ENST00000592547.1,Non-coding,0.047280077
ENST00000586928.5,Coding,0.7170403
ENST00000585745.5,Non-coding,0.23408756
ENST00000585768.5,Non-coding,0.040411085
ENST00000590848.5,Non-coding,0.048443243
ENST00000591440.5,Non-coding,0.10048853
ENST00000587530.5,Non-coding,0.05824922
ENST00000593022.5,Non-coding,0.051314183
ENST00000589531.5,Non-coding,0.053621016
ENST00000588951.5,Non-coding,0.030448169
ENST00000586288.1,Non-coding,0.13599086
ENST00000591702.1,Non-coding,0.0784883
ENST00000655384.1,Non-coding,0.27991542
ENST00000667728.1,Non-coding,0.35047406
ENST00000326734.2,Non-coding,0.40977326
ENST00000624927.3,Non-coding,0.022885963
ENST00000623808.4,Coding,0.9393442
ENST00000685334.1,Coding,0.95047694
ENST00000445118.7,Coding,0.7636519
ENST00000669922.1,Non-coding,0.38669017
ENST00000670780.1,Coding,0.7591476
ENST00000610067.7,Non-coding,0.37188914
ENST00000688309.1,Coding,0.65384316
ENST00000659124.2,Coding,0.7298425
ENST00000667414.1,Non-coding,0.41665357
ENST00000666741.1,Coding,0.7098787
ENST00000685764.1,Coding,0.5377678
ENST00000688008.1,Coding,0.8448912
ENST00000623070.5,Coding,0.91551924
ENST00000658846.1,Non-coding,0.41820773
ENST00000608189.6,Coding,0.87296027
ENST00000448975.6,Non-coding,0.44032237
ENST00000685879.1,Non-coding,0.46963358
ENST00000661237.2,Coding,0.8775396
ENST00000686238.1,Coding,0.871235
ENST00000685566.1,Coding,0.91937536
ENST00000449005.6,Coding,0.5690339
ENST00000441765.6,Non-coding,0.26659545
ENST00000609139.6,Non-coding,0.39976975
ENST00000416570.6,Coding,0.8444259
ENST00000609009.6,Coding,0.86709255
ENST00000657837.1,Coding,0.58526695
ENST00000691316.1,Coding,0.8448927
ENST00000692194.1,Coding,0.9222421
ENST00000668541.1,Non-coding,0.20113964
ENST00000691234.1,Coding,0.9163114
ENST00000657175.1,Coding,0.9628637
ENST00000660797.1,Coding,0.51873744
ENST00000622921.1,Coding,0.9258428
ENST00000670824.1,Non-coding,0.42601195
ENST00000415295.1,Coding,0.5252225
ENST00000688420.1,Coding,0.9766689
ENST00000425657.1,Non-coding,0.16410108
ENST00000473798.1,Coding,0.9212551
ENST00000671208.1,Coding,0.5777725
ENST00000661463.1,Non-coding,0.3232441
ENST00000446136.1,Coding,0.75385696
ENST00000432963.1,Coding,0.93242425
ENST00000427857.1,Non-coding,0.13653405
ENST00000607769.1,Non-coding,0.04264599
ENST00000448179.1,Coding,0.69857836
ENST00000398216.2,Coding,0.6599747
ENST00000609207.1,Coding,0.6687446
ENST00000417705.1,Non-coding,0.36622438
ENST00000432961.1,Coding,0.6242074
ENST00000606034.1,Non-coding,0.4262609
ENST00000458555.1,Non-coding,0.0896143
ENST00000418300.1,Coding,0.6465645
ENST00000442292.2,Coding,0.77455634
ENST00000648183.1,Non-coding,0.15544352
ENST00000416774.1,Coding,0.5987145
ENST00000606993.1,Coding,0.7327207
ENST00000379317.1,Coding,0.8507622
ENST00000565563.1,Non-coding,0.11240684
ENST00000434139.1,Coding,0.7191539
ENST00000453732.1,Non-coding,0.16214173
ENST00000444968.1,Coding,0.6960711
ENST00000444362.3,Coding,0.9524952
ENST00000686668.1,Non-coding,0.38982177
ENST00000659048.2,Non-coding,0.3669709
ENST00000448629.7,Non-coding,0.37214774
ENST00000685968.1,Non-coding,0.48216322
ENST00000418833.2,Non-coding,0.43955442
ENST00000686850.1,Coding,0.5739598
ENST00000688441.1,Coding,0.5739598
ENST00000690737.1,Coding,0.55361664
ENST00000690954.1,Non-coding,0.26837236
ENST00000692532.1,Coding,0.56995606
ENST00000576232.1,Non-coding,0.42953628
ENST00000691378.1,Non-coding,0.4770722
ENST00000689419.1,Coding,0.5560121
